arxiv_id,role,paired_with,title,top1_score,top1_title,top1_arxiv_id,top3_scores,top10_json,strong_match,strong_match_reason,skip_reason
1502.05028v2,retracted,1402.0460v2,Rational curves on smooth cubic hypersurfaces over finite fields,0.6722,Rational curves on complete intersections and the circle method,2404.11123,"[0.6722, 0.672, 0.6714]","[{""title"": ""Rational curves on complete intersections and the circle method"", ""score"": 0.6722, ""arxiv_id"": ""2404.11123""}, {""title"": ""Rational curves on cubic hypersurfaces over finite fields"", ""score"": 0.672, ""arxiv_id"": ""1804.05643""}, {""title"": ""Elliptic curves on some homogeneous spaces"", ""score"": 0.6714, ""arxiv_id"": ""1105.5320""}, {""title"": ""Elliptic curves on some homogeneous spaces"", ""score"": 0.6673, ""arxiv_id"": ""1105.5320""}, {""title"": ""Rational curves on smooth hypersurfaces of low degree"", ""score"": 0.6632, ""arxiv_id"": ""1611.00553""}, {""title"": ""Rational surfaces on low degree hypersurfaces"", ""score"": 0.6609, ""arxiv_id"": ""2508.18938""}, {""title"": ""Elliptic curves on some homogeneous spaces"", ""score"": 0.6584, ""arxiv_id"": ""1105.5320""}, {""title"": ""A motivic circle method"", ""score"": 0.656, ""arxiv_id"": ""2304.09645""}, {""title"": ""Linear subspaces of hypersurfaces"", ""score"": 0.6521, ""arxiv_id"": ""1903.02481""}, {""title"": ""Linear subspaces of hypersurfaces"", ""score"": 0.6508, ""arxiv_id"": ""1903.02481""}]",false,top-1 score 0.6722 < 0.75,
1402.0460v2,control,1502.05028v2,Triangulations of monotone families I: Two-dimensional families,0.7304,De Rham Theorem for L^\infty forms and homology on singular spaces,1002.4143,"[0.7304, 0.7003, 0.6428]","[{""title"": ""De Rham Theorem for L^\\infty forms and homology on singular spaces"", ""score"": 0.7304, ""arxiv_id"": ""1002.4143""}, {""title"": ""Log-Noetherian functions"", ""score"": 0.7003, ""arxiv_id"": ""2405.16963""}, {""title"": ""Some Quantitative Results in Real Algebraic Geometry"", ""score"": 0.6428, ""arxiv_id"": ""1307.8353""}, {""title"": ""Cylindrical Algebraic Decomposition With Frontier Condition"", ""score"": 0.6412, ""arxiv_id"": ""2212.12747""}]",false,top-1 score 0.7304 < 0.75,
1011.3176v2,retracted,0904.2489v1,Rotation sets of invariant separating continua of annular homeomorphisms,0.8228,Prime end rotation numbers of invariant separating contunua of annular homeomorphisms,1012.0981,"[0.8228, 0.811, 0.7947]","[{""title"": ""Prime end rotation numbers of invariant separating contunua of annular homeomorphisms"", ""score"": 0.8228, ""arxiv_id"": ""1012.0981""}, {""title"": ""Inexistence of sublinear diffusion for a class of torus homeomorphisms"", ""score"": 0.811, ""arxiv_id"": ""2003.12892""}, {""title"": ""Simple braids for surface homeomorphisms"", ""score"": 0.7947, ""arxiv_id"": ""0510134""}, {""title"": ""On torus homeomorphisms whose rotation set is an interval"", ""score"": 0.6704, ""arxiv_id"": ""1111.2378""}, {""title"": ""Forcing theory for transverse trajectories of surface homeomorphisms"", ""score"": 0.6623, ""arxiv_id"": ""1503.09127""}, {""title"": ""Pseudo-rotations of the open annulus"", ""score"": 0.653, ""arxiv_id"": ""0506041""}, {""title"": ""Dynamics of one-resonant biholomorphisms"", ""score"": 0.6266, ""arxiv_id"": ""0912.0428""}, {""title"": ""Diophantine Approximation Groups, Kronecker Foliations and Independence"", ""score"": 0.6194, ""arxiv_id"": ""1201.2708""}, {""title"": ""Action on the circle at infinity of foliations of ${\\mathbb R}^2 $"", ""score"": 0.6037, ""arxiv_id"": ""2301.04530""}, {""title"": ""Action on the circle at infinity of foliations of ${\\mathbb R}^2 $"", ""score"": 0.5963, ""arxiv_id"": ""2301.04530""}]",true,top-1 score 0.8228 >= 0.75,
0904.2489v1,control,1011.3176v2,Entropies of compact strictly convex projective manifolds,0.7793,From Cascades to $J$-holomorphic Curves and Back,2206.04334,"[0.7793, 0.7562, 0.7544]","[{""title"": ""From Cascades to $J$-holomorphic Curves and Back"", ""score"": 0.7793, ""arxiv_id"": ""2206.04334""}, {""title"": ""On mixed partial derivatives of modified Bernstein-Stancu polynomials for functions of several varia"", ""score"": 0.7562, ""arxiv_id"": ""2204.12570""}, {""title"": ""Differential geometry of moduli spaces of quiver bundles"", ""score"": 0.7544, ""arxiv_id"": ""1606.01517""}, {""title"": ""Fourier-Laplace transforms in polynomial Ornstein-Uhlenbeck volatility models"", ""score"": 0.7486, ""arxiv_id"": ""2405.02170""}, {""title"": ""Regularity of the geodesic flow on submanifolds"", ""score"": 0.725, ""arxiv_id"": ""2401.03417""}, {""title"": ""Enhanced nilHecke algebras and baby Verma modules"", ""score"": 0.723, ""arxiv_id"": ""2308.01950""}, {""title"": ""The wave equation with specular derivatives"", ""score"": 0.7213, ""arxiv_id"": ""2210.06933""}, {""title"": ""Double Calculus"", ""score"": 0.7183, ""arxiv_id"": ""2106.08082""}, {""title"": ""The equality of mixed partial derivatives under weak differentiability conditions"", ""score"": 0.7172, ""arxiv_id"": ""1309.5841""}]",true,top-1 score 0.7793 >= 0.75,
1010.2295v3,retracted,0904.2445v1,Generalising Bogomolov's Inequality to Unstable Sheaves,,,,,,false,skip: no_theorem_env,no_theorem_env
0904.2445v1,control,1010.2295v3,Positive sheaves of differentials coming from coarse moduli spaces,,,,,,false,skip: no_theorem_env,no_theorem_env
1207.0631v3,retracted,1101.3431v2,On the diagonal of the matrices in a similarity class,0.7232,Sums and products of square-zero matrices,1804.02140,"[0.7232, 0.7061, 0.6942]","[{""title"": ""Sums and products of square-zero matrices"", ""score"": 0.7232, ""arxiv_id"": ""1804.02140""}, {""title"": ""Filmor Theorem for integers"", ""score"": 0.7061, ""arxiv_id"": ""1704.08037""}, {""title"": ""Sums and products of square-zero matrices"", ""score"": 0.6942, ""arxiv_id"": ""1804.02140""}, {""title"": ""A note on Products of Nilpotent Matrices"", ""score"": 0.6874, ""arxiv_id"": ""1608.04666""}, {""title"": ""Similarity and commutators of matrices over principal ideal rings"", ""score"": 0.6755, ""arxiv_id"": ""1211.6872""}, {""title"": ""On the Waring Problem for Matrices over Finite Fields"", ""score"": 0.667, ""arxiv_id"": ""2505.11805""}, {""title"": ""Products of involutions in the stable general linear group"", ""score"": 0.6574, ""arxiv_id"": ""1808.01579""}, {""title"": ""On Fillmore's theorem over integrally closed domains"", ""score"": 0.6548, ""arxiv_id"": ""2502.11636""}, {""title"": ""On the inertia set of a signed graph with loops"", ""score"": 0.6485, ""arxiv_id"": ""1402.4326""}, {""title"": ""Products of involutions in the stable general linear group"", ""score"": 0.6471, ""arxiv_id"": ""1808.01579""}]",false,top-1 score 0.7232 < 0.75,
1101.3431v2,control,1207.0631v3,Tropical linear-fractional programming and parametric mean payoff games,,,,,,false,skip: no_theorem_env,no_theorem_env
1212.0196v2,retracted,1101.3720v1,On non-congruent numbers with 3 modulo 8 prime factors,0.8696,On non-congruent numbers with 1 modulo 4 prime factors,1208.2149,"[0.8696, 0.805, 0.6888]","[{""title"": ""On non-congruent numbers with 1 modulo 4 prime factors"", ""score"": 0.8696, ""arxiv_id"": ""1208.2149""}, {""title"": ""On non-congruent numbers with 1 modulo 4 prime factors"", ""score"": 0.805, ""arxiv_id"": ""1208.2149""}, {""title"": ""On Orders in Number Fields: Picard Groups, Ring Class Fields and Applications"", ""score"": 0.6888, ""arxiv_id"": ""1405.5776""}, {""title"": ""On non-congruent numbers with $8a\\pm1$ type odd prime factors and tame kernels"", ""score"": 0.6886, ""arxiv_id"": ""2111.11618""}, {""title"": ""Sum of Two Squares - Pair Correlation and Distribution in Short Intervals"", ""score"": 0.6855, ""arxiv_id"": ""1208.2419""}, {""title"": ""On non-congruent numbers with 1 modulo 4 prime factors"", ""score"": 0.6816, ""arxiv_id"": ""1208.2149""}]",true,top-1 score 0.8696 >= 0.75,
1101.3720v1,control,1212.0196v2,Sparse binary cyclotomic polynomials,0.69,Practical central binomial coefficients,2004.05376,"[0.69, 0.6773, 0.6763]","[{""title"": ""Practical central binomial coefficients"", ""score"": 0.69, ""arxiv_id"": ""2004.05376""}, {""title"": ""An approximation of the Collatz map and a lower bound for the average total stopping time"", ""score"": 0.6773, ""arxiv_id"": ""2402.03276""}, {""title"": ""The TAP-Plefka variational principle for the spherical SK model"", ""score"": 0.6763, ""arxiv_id"": ""1802.05782""}, {""title"": ""On the Hardy--Littlewood majorant problem for arithmetic sets"", ""score"": 0.669, ""arxiv_id"": ""1505.00409""}, {""title"": ""On partitions avoiding 3-crossings"", ""score"": 0.6687, ""arxiv_id"": ""0506551""}, {""title"": ""Set families with a forbidden pattern"", ""score"": 0.6678, ""arxiv_id"": ""1510.05134""}, {""title"": ""Fractal geometry of continued fractions with large coefficients and dimension drop problems"", ""score"": 0.6606, ""arxiv_id"": ""2409.00521""}, {""title"": ""Counting arithmetic formulas"", ""score"": 0.6604, ""arxiv_id"": ""1406.1704""}, {""title"": ""Dedekind's problem in the hypergrid"", ""score"": 0.6584, ""arxiv_id"": ""2310.12946""}]",false,top-1 score 0.69 < 0.75,
math-ph/0108016v4,retracted,math-ph/0207026v2,A natural symplectic form for every field theory,,,,,,false,skip: no_theorem_env,no_theorem_env
math-ph/0207026v2,control,math-ph/0108016v4,Construction of Self-Adjoint Berezin-Toeplitz Operators on Kahler Manifolds and a Probabilistic Representation of the Associated Semigroups,,,,,,false,skip: no_theorem_env,no_theorem_env
1510.07802v3,retracted,1401.7852v2,On behavior of the Lannes-Zarati homomorphism,0.6575,Weak Greenberg's generalized conjecture for imaginary quadratic fields,2010.04988,"[0.6575, 0.6476, 0.6365]","[{""title"": ""Weak Greenberg's generalized conjecture for imaginary quadratic fields"", ""score"": 0.6575, ""arxiv_id"": ""2010.04988""}, {""title"": ""A local proof of the Breuil-M\u00e9zard conjecture in the scalar semi-simplification case"", ""score"": 0.6476, ""arxiv_id"": ""1506.01197""}, {""title"": ""Ordered set partitions, Garsia-Procesi modules, and rank varieties"", ""score"": 0.6365, ""arxiv_id"": ""2004.00788""}, {""title"": ""The ADO Invariants are a q-Holonomic Family"", ""score"": 0.627, ""arxiv_id"": ""2005.08176""}, {""title"": ""Weak Greenberg's generalized conjecture for imaginary quadratic fields"", ""score"": 0.6228, ""arxiv_id"": ""2010.04988""}, {""title"": ""An Alexandrov Topology for Maximal Cohen-Macaulay Modules"", ""score"": 0.6158, ""arxiv_id"": ""2210.03532""}, {""title"": ""On a conjecture by Pierre Cartier about a group of associators"", ""score"": 0.613, ""arxiv_id"": ""0910.1932""}, {""title"": ""Multivariable codes over finite chain rings: semisimple codes"", ""score"": 0.6107, ""arxiv_id"": ""0505491""}, {""title"": ""A Sheaf On The Second Spectrum Of A Module"", ""score"": 0.6013, ""arxiv_id"": ""1709.05393""}, {""title"": ""On $n$-Dimensional Sequences. I"", ""score"": 0.5999, ""arxiv_id"": ""2405.04022""}]",false,top-1 score 0.6575 < 0.75,
1401.7852v2,control,1510.07802v3,Controlled Algebra for Simplicial Rings and Algebraic K-theory,,,,,,false,skip: no_theorem_env,no_theorem_env
1501.07698v3,retracted,1403.3501v3,On the mod p Lannes-Zarati homomorphism,0.7154,The cohomology of the Steenrod algebra and the mod $p$ Lannes-Zarati homomorphism,1905.00819,"[0.7154, 0.6922, 0.6854]","[{""title"": ""The cohomology of the Steenrod algebra and the mod $p$ Lannes-Zarati homomorphism"", ""score"": 0.7154, ""arxiv_id"": ""1905.00819""}, {""title"": ""Mui invariants and Milnor operations"", ""score"": 0.6922, ""arxiv_id"": ""0903.4912""}, {""title"": ""On the derived functors of destabilization at odd primes"", ""score"": 0.6854, ""arxiv_id"": ""1101.0226""}, {""title"": ""Projective reflection groups"", ""score"": 0.667, ""arxiv_id"": ""0902.0684""}, {""title"": ""A DG-extension of symmetric functions arising from higher representation theory"", ""score"": 0.6655, ""arxiv_id"": ""1704.00713""}, {""title"": ""Stiefel-Whitney Classes of Representations of $\\text{SL}(2,q)$"", ""score"": 0.6609, ""arxiv_id"": ""2208.05813""}, {""title"": ""Modular coinvariants and the mod p homology of QS^k"", ""score"": 0.6606, ""arxiv_id"": ""1412.7588""}, {""title"": ""Mui invariants and Milnor operations"", ""score"": 0.6535, ""arxiv_id"": ""0903.4912""}, {""title"": ""Modular Invariants for Some Finite Pseudo-Reflection Groups"", ""score"": 0.6502, ""arxiv_id"": ""2003.03557""}]",false,top-1 score 0.7154 < 0.75,
1403.3501v3,control,1501.07698v3,Normal closure and injective normalizer of a group homomorphism,0.7049,Zariski-van Kampen theorems for singular varieties --- an approach via the relative monodromy variation,1609.01427,"[0.7049, 0.6806, 0.6684]","[{""title"": ""Zariski-van Kampen theorems for singular varieties --- an approach via the relative monodromy variat"", ""score"": 0.7049, ""arxiv_id"": ""1609.01427""}, {""title"": ""Summation and the Poisson formula"", ""score"": 0.6806, ""arxiv_id"": ""1204.3533""}, {""title"": ""Characters of normalisers of d-split Levi subgroups in Sp2n(q)"", ""score"": 0.6684, ""arxiv_id"": ""2203.06072""}, {""title"": ""Rota-Baxter systems of Hopf algebras and Hopf trusses"", ""score"": 0.6652, ""arxiv_id"": ""2305.00482""}, {""title"": ""Relative simplicity of the universal coverings of transformation groups and Tsuboi's metric"", ""score"": 0.6644, ""arxiv_id"": ""2412.00839""}, {""title"": ""Almost-simple affine difference algebraic groups"", ""score"": 0.6631, ""arxiv_id"": ""2007.07137""}, {""title"": ""Equ-saturating categories"", ""score"": 0.6628, ""arxiv_id"": ""2503.13190""}, {""title"": ""Finiteness properties of affine difference algebraic groups"", ""score"": 0.6598, ""arxiv_id"": ""1405.6603""}, {""title"": ""Crossed modules as maps between connected components of topological groups"", ""score"": 0.6587, ""arxiv_id"": ""1604.06551""}]",false,top-1 score 0.7049 < 0.75,
1308.0311v2,retracted,1201.4618v1,On the partition of R^n by hyperplanes,0.6485,"Wall-crossing formulae and strong piecewise polynomiality for mixed Grothendieck dessins d'enfant, monotone, and simple double Hurwitz numbers",1710.01047,"[0.6485, 0.6247, 0.6194]","[{""title"": ""Wall-crossing formulae and strong piecewise polynomiality for mixed Grothendieck dessins d'enfant, m"", ""score"": 0.6485, ""arxiv_id"": ""1710.01047""}, {""title"": ""On Uniform f-vectors of Cutsets in the Truncated Boolean Lattice"", ""score"": 0.6247, ""arxiv_id"": ""1512.02973""}, {""title"": ""On Uniform f-vectors of Cutsets in the Truncated Boolean Lattice"", ""score"": 0.6194, ""arxiv_id"": ""1512.02973""}, {""title"": ""Distributions for Nonsymmetric Monotone and Weakly Monotone Position Operators"", ""score"": 0.6094, ""arxiv_id"": ""2108.05282""}, {""title"": ""The Bressoud-G\u00f6llnitz-Gordon Theorem for Overpartitions of even moduli"", ""score"": 0.6058, ""arxiv_id"": ""1702.08621""}, {""title"": ""Wall-crossing formulae and strong piecewise polynomiality for mixed Grothendieck dessins d'enfant, m"", ""score"": 0.6035, ""arxiv_id"": ""1710.01047""}, {""title"": ""Computing the Morava K-theory of real Grassmanians using chromatic fixed point theory"", ""score"": 0.6025, ""arxiv_id"": ""2111.08812""}, {""title"": ""Lower bounds for dimensions of irreducible representations of symmetric groups"", ""score"": 0.6007, ""arxiv_id"": ""1903.09853""}, {""title"": ""On Uniform f-vectors of Cutsets in the Truncated Boolean Lattice"", ""score"": 0.598, ""arxiv_id"": ""1512.02973""}, {""title"": ""Factorization problems in complex reflection groups"", ""score"": 0.5976, ""arxiv_id"": ""1906.11961""}]",false,top-1 score 0.6485 < 0.75,
